speech_id,title,date,url,speaker,word_count,sentence_count,char_count,duration_estimate_minutes,avg_sentence_length,std_sentence_length,max_sentence_length,min_sentence_length,type_token_ratio,lexical_diversity,unique_word_count,readability_flesch_reading_ease,readability_flesch_kincaid_grade,readability_gunning_fog,readability_smog_index,readability_coleman_liau_index,readability_automated_readability_index,avg_word_length,anaphora_total,anaphora__we_will,anaphora__i_will,anaphora__they_are,anaphora__we_are,anaphora__this_is,contrast_markers,repetition_density,alliteration_count,keywords_economy,keywords_security,keywords_immigration,keywords_foreign_policy,keywords_total,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound,sentiment_mean,sentiment_variance,sentiment_std,sentiment_max,sentiment_min,sentiment_range,emotion_anger,emotion_fear,emotion_joy,emotion_sadness,emotion_surprise,emotion_disgust,emotion_trust,emotion_anticipation,dominant_emotion,dominant_emotion_score,pronoun_first_singular,pronoun_first_plural,pronoun_second_person,pronoun_third_plural,pronoun_third_singular,pronoun_i_we_ratio,pronoun_total,modal_will,modal_would,modal_should,modal_shall,modal_must,modal_can,modal_could,modal_may,modal_might,modal_ought,modal_total,certainty_markers,power_words,affiliation_words,power_affiliation_ratio,ner_person_count,ner_org_count,ner_gpe_count,ner_date_count,ner_money_count,ner_norp_count,ner_fac_count,ner_loc_count,ner_total_entities,top_person_names,top_org_names,top_gpe_names,adj_count,adv_count,adj_adv_ratio,question_count,exclamation_count,all_caps_words,superlative_count,features_extracted_at
_trump-and-starmer-hold-press-conference,Trump and Starmer Hold Press Conference,,https://www.rev.com/transcripts/trump-and-starmer-hold-press-conference,Donald Trump,13287,1209,71239,88.58,10.991728701406121,7.908069675604896,57,1,0.11025754045715006,0.11025754045715006,1751,77.12841577373545,5.5171264778562445,7.732719892048251,9.035731156855345,6.293352801045106,5.182781434608401,4.164854791116633,9,2,3,0,1,3,159,0.45156920298035674,673,34,14,22,37,107,0.07,0.782,0.148,1.0,0.09663556658395368,0.12839635031483615,0.3583243646681539,0.9622,-0.91,1.8722,0,0,0,0,0,0,0,0,anger,0,436,408,337,287,506,1.0686274509803921,1974,29,48,19,0,3,56,21,2,5,0,183,14,16,36,0.4444444444444444,203,42,147,74,10,27,6,8,517,"Donald Trump, Keir Starmer, Putin, Charles, Nigel","Hamas, NATO, Parliament, Turnberry, the European Union","Scotland, Russia, the United States, the United Kingdom, Israel",802,898,0.8930957683741648,89,0,36,27,2025-11-23T01:56:59.034829
_trump-announces-eu-deal,Trump Announces EU Deal,,https://www.rev.com/transcripts/trump-announces-eu-deal,Donald Trump,2244,226,11950,14.96,9.929203539823009,7.792913520344152,44,1,0.20201267238166232,0.20201267238166232,542,76.81588441548516,5.396121737302714,7.346050368785112,8.81185789822538,5.995620437956205,4.682538077106141,4.1631896152063055,3,0,0,1,1,1,22,0.44563279857397503,107,22,5,0,5,32,0.015,0.791,0.194,0.9999,0.2076486725663717,0.08129410515310519,0.28512121133494295,0.9379,-0.6705,1.6084,0,0,0,0,0,0,0,0,anger,0,47,63,55,40,104,0.746031746031746,309,12,6,1,0,0,3,1,0,1,0,24,2,4,4,1.0,37,8,16,10,7,5,0,5,88,"Donald Trump, Ursula von der Leyen, Howard Lutnick, Ursula, Howard","NATO, the European Union, The European Union, EU","US, the United States, UK, Iran, the United States of America",140,168,0.8333333333333334,20,0,12,14,2025-11-23T01:56:59.056630
_starmer-arrives-in-scotland,Starmer Arrives in Scotland,,https://www.rev.com/transcripts/starmer-arrives-in-scotland,Donald Trump,2821,326,14702,18.80666666666667,8.653374233128835,6.203559063656006,35,1,0.18641576007056748,0.18641576007056748,634,82.49505250253254,4.123013414374483,5.8757210790860945,7.669130373188453,4.969326958440604,3.178608618319995,4.058691588785047,1,0,0,0,1,0,30,0.7089684509039348,132,13,2,6,10,31,0.097,0.789,0.114,0.9627,0.030833742331288338,0.11382973389212991,0.33738662375993794,0.9194,-0.8834,1.8028,0,0,0,0,0,0,0,0,anger,0,93,95,92,58,94,0.9789473684210527,432,2,8,2,0,0,4,3,0,0,0,19,0,2,3,0.6666666666666666,72,3,36,27,2,4,1,4,149,"Donald Trump, Keir Starmer, Victoria Starmer, Trump, Putin",Hamas,"Gaza, Israel, Pakistan, Congo, UK",161,182,0.8846153846153846,31,0,3,2,2025-11-23T01:56:59.081423
_trump-ai-action-plan,Trump AI Action Plan,,https://www.rev.com/transcripts/trump-ai-action-plan,Donald Trump,8966,736,49020,59.77333333333333,12.186141304347826,9.711986839536873,82,1,0.15004152440712373,0.15004152440712373,1626,72.2152367450632,6.4374108625352235,8.277494699761844,9.741287054428554,6.710999216739399,6.15406691914697,4.20447895566059,6,1,1,0,1,3,104,0.2230649118893598,493,29,7,1,18,55,0.049,0.785,0.167,1.0,0.15469171195652173,0.12687608383076485,0.3561966926162634,0.9855,-0.8702,1.8557000000000001,0,0,0,0,0,0,0,0,anger,0,196,315,228,149,352,0.6222222222222222,1240,51,13,7,0,4,37,10,5,2,0,129,7,24,6,4.0,85,27,82,63,20,35,0,16,328,"Donald Trump, Doug, Chris, Jensen, Howard","NVIDIA, Palantir, NATO, Meta, Google","America, China, Japan, the United States, Russia",708,581,1.2185886402753872,50,0,54,39,2025-11-23T01:56:59.161071
_philippine-president-visits-white-house,Philippine President Visits White House,,https://www.rev.com/transcripts/philippine-president-visits-white-house,Donald Trump,5852,559,31668,39.013333333333335,10.470483005366725,8.554284510561713,61,1,0.16787182759109598,0.16787182759109598,1184,75.41008765160694,5.814160707075242,7.757414569219495,9.170257120522418,6.505493741307376,5.533837214002748,4.21617802896503,3,0,0,0,0,3,69,0.34176349965823655,327,10,9,3,21,43,0.078,0.807,0.115,0.9998,0.033597137745974955,0.10631361916890948,0.32605769300678905,0.9509,-0.8739,1.8248,0,0,0,0,0,0,0,0,anger,0,133,149,103,123,281,0.8926174496644296,789,7,23,18,0,2,14,3,0,0,2,69,5,4,6,0.6666666666666666,143,41,57,42,17,9,1,7,317,"Donald Trump, Obama, Marcos, Brian, Biden","Fed, FBI, Harvard, AstraZeneca, ASEAN","Philippines, China, the United States, US, New York",312,370,0.8432432432432433,52,0,19,12,2025-11-23T01:56:59.212228
_trump-speaks-to-republican-senators,Trump Speaks to Republican Senators,,https://www.rev.com/transcripts/trump-speaks-to-republican-senators,Donald Trump,2593,235,13928,17.286666666666665,11.034042553191489,9.234930832851479,51,1,0.21606475716064757,0.21606475716064757,694,77.47808542113512,5.592136859398533,7.351255723390986,9.007467420416297,5.926144297905356,5.47966485938764,4.09065934065934,1,1,0,0,0,0,34,0.0,129,4,3,2,4,13,0.062,0.722,0.217,0.9999,0.21199489361702128,0.1501126095058397,0.3874436855929384,0.9169,-0.8793,1.7962,0,0,0,0,0,0,0,0,anger,0,68,110,81,41,118,0.6181818181818182,418,5,5,2,0,0,10,3,0,0,0,25,1,1,7,0.14285714285714285,46,16,27,29,5,11,0,4,138,"John, Donald Trump, Shelly, Lindsey Graham, Ted","Senate, MAGA, Senate finance committee, Senate budget committee, State","America, Nebraska, India, Congo, Egypt",193,205,0.9414634146341463,19,0,8,9,2025-11-23T01:56:59.234795
_trump-welcomes-prince-of-bahrain,Trump Welcomes Prince Of Bahrain,,https://www.rev.com/transcripts/trump-welcomes-prince-of-bahrain,Donald Trump,5319,553,28733,35.46,9.622061482820977,7.3003270815165555,45,1,0.17103404989800722,0.17103404989800722,1090,76.41372459314772,5.232661390904383,7.274944541058414,8.841846274778883,6.173543549317436,4.60042876687309,4.233733045016709,4,1,0,1,1,1,53,0.5640157924421885,279,17,4,1,10,32,0.09,0.775,0.136,0.9998,0.05457956600361663,0.12216974824429626,0.34952789337089574,0.9022,-0.9423,1.8445,0,0,0,0,0,0,0,0,anger,0,108,200,134,95,238,0.54,775,4,8,14,0,0,15,2,4,1,0,48,4,1,8,0.125,84,13,59,43,28,35,1,6,269,"Trump, Jerome Powell, Biden, Epstein, Pam Bondi","Fed, Treasury, the Wharton School of Finance, CNBC, FBI","Pennsylvania, the United States, Syria, Homer City, Russia",301,299,1.0066889632107023,39,0,4,22,2025-11-23T01:56:59.283956
_trump-meets-with-nato-secretary-general,Trump Meets with NATO Secretary-General,,https://www.rev.com/transcripts/trump-meets-with-rutte,Donald Trump,6871,637,36501,45.806666666666665,10.78806907378336,7.917985143721989,57,1,0.13753616200578592,0.13753616200578592,1141,79.15312327005115,5.136569065890928,7.166037462777833,8.460901736383073,5.807921673342232,4.753697690186044,4.1129518072289155,16,1,1,0,3,11,91,0.43661766846165045,356,14,13,2,28,57,0.071,0.794,0.135,0.9999,0.07284348508634222,0.12363530160983217,0.3516181190010438,0.9552,-0.9331,1.8883,0,0,0,0,0,0,0,0,anger,0,187,208,148,176,311,0.8990384615384616,1030,26,17,10,1,0,19,10,6,2,0,91,5,11,5,2.2,152,41,84,66,3,26,2,9,383,"Donald Trump, Mark Rutte, Putin, Biden, Mark","NATO, House, Patriots, Senate, Resolute","Ukraine, Russia, the U. S., Germany, Egypt",383,432,0.8865740740740741,42,0,38,28,2025-11-23T01:56:59.344498
_african-leaders-at-white-house,African Leaders at White House,,https://www.rev.com/transcripts/african-leaders-at-white-house,Donald Trump,7839,658,42518,52.26,11.913373860182372,9.34415135819778,66,1,0.1619573454584822,0.1619573454584822,1496,73.0217505268704,6.359122760800847,8.744104550953868,9.748163439937542,6.848381248381248,6.018499992136263,4.252615062761507,12,0,2,1,5,4,58,0.3827018752391887,428,20,16,12,13,61,0.077,0.744,0.18,1.0,0.13148510638297872,0.16472197722498869,0.4058595535711691,0.9696,-0.957,1.9266,0,0,0,0,0,0,0,0,anger,0,183,229,214,127,242,0.7991266375545851,995,16,32,6,0,0,34,13,0,3,0,104,5,6,15,0.4,120,42,100,64,7,30,1,36,400,"Donald Trump, Peter, Trump, Mohamed Ould Ghazouani, Joseph Boakai","ICE, the White House, CBP, IRS, Harvard","Ukraine, the United States, Mauritania, Liberia, Russia",502,514,0.9766536964980544,40,0,37,15,2025-11-23T01:56:59.413741
_white-house-dinner-with-netanyahu,White House Dinner with Netanyahu,,https://www.rev.com/transcripts/white-house-dinner-with-netanyahu,Donald Trump,5994,509,32199,39.96,11.777996070726916,9.151627503598533,54,1,0.15759511246875868,0.15759511246875868,1135,75.72775171065496,5.864013405948892,7.999397320280173,9.213105409118388,6.371171477079798,5.536761176761178,4.178325292901447,3,0,0,0,0,3,75,0.0,324,10,10,0,23,43,0.071,0.775,0.154,1.0,0.10731689587426327,0.14207568776953924,0.3769292874924145,0.9655,-0.9661,1.9316,0,0,0,0,0,0,0,0,anger,0,164,214,140,133,230,0.7663551401869159,881,15,25,8,0,0,22,9,0,2,0,81,4,3,9,0.3333333333333333,91,18,91,34,7,23,1,10,275,"Trump, Bibi, Brian, Mike, Steve","the White House, Hamas, Hezbollah, the Nobel Prize Committee, State","Israel, Iran, Syria, the United States, Texas",343,379,0.9050131926121372,66,0,8,14,2025-11-23T01:56:59.466463
_trump-speaks-at-military-family-picnic,Trump Speaks at Military Family Picnic,,https://www.rev.com/transcripts/trump-speaks-at-military-family-picnic,Donald Trump,4270,398,23202,28.466666666666665,10.731155778894472,9.237273421969025,74,1,0.1958428680396644,0.1958428680396644,1027,77.33071227693411,5.327810246970394,7.105639924323772,8.865021811216593,6.130330188679249,5.199198904565158,4.153425309229306,7,0,0,0,4,3,28,0.936768149882904,249,8,19,4,13,44,0.057,0.735,0.208,1.0,0.20548793969849247,0.13925909236711193,0.37317434580516373,0.9664,-0.8625,1.8289,0,0,0,0,0,0,0,0,anger,0,91,172,126,89,162,0.5290697674418605,640,7,7,2,0,0,8,0,0,0,0,24,1,13,2,6.5,66,25,31,31,4,11,2,1,171,"Trump, Mike, Donald Trump, Melania Trump, Skedaddle","House, NATO, Air Force, the National Park Service, USO","America, Russia, China, the United States, United States",285,301,0.946843853820598,24,0,22,24,2025-11-23T01:56:59.505171
_trump-at-2025-nato-summit,Trump at 2025 Nato Summit,,https://www.rev.com/transcripts/trump-at-2025-nato-summit,Donald Trump,3864,385,20868,25.76,10.03896103896104,8.0840416123799,54,1,0.1739687967514426,0.1739687967514426,814,76.51186192226437,5.477427526794589,7.828815635883041,9.139804045223492,6.227760252365936,5.114658171405779,4.165826479172194,4,0,0,2,0,2,36,0.2587991718426501,229,0,8,0,21,29,0.087,0.789,0.124,0.9994,0.04080467532467533,0.11018326771840106,0.33193865053410254,0.9667,-0.8934,1.8601,0,0,0,0,0,0,0,0,anger,0,103,89,83,159,179,1.1573033707865168,613,7,12,1,0,0,16,5,1,4,0,46,4,6,7,0.8571428571428571,69,17,39,28,2,16,1,2,174,"Donald Trump, Mark Rutte, Katie, Marco, Trump","CNN, NATO, the New York Times, FBI, New York Times","Iran, Israel, the United States, Russia, Gaza",209,294,0.7108843537414966,30,0,13,1,2025-11-23T01:56:59.536474
_trump-speaks-on-iran-bombing,Trump Speaks on Iran Bombing,,https://www.rev.com/transcripts/trump-speaks-on-iran-bombing,Donald Trump,529,35,3008,3.526666666666667,15.114285714285714,10.200200078069697,47,2,0.4482758620689655,0.4482758620689655,273,64.14231818181823,8.060474025974024,10.731255411255411,11.491704259439757,8.557575757575762,8.193764515257904,4.532442748091603,0,0,0,0,0,0,2,0.0,32,0,9,0,5,14,0.089,0.732,0.179,0.9943,0.03590285714285715,0.3207847374204082,0.5663786166694574,0.9716,-0.9081,1.8797000000000001,0,0,0,0,0,0,0,0,anger,0,10,10,4,5,1,1.0,30,7,1,0,0,1,2,2,0,0,0,13,0,0,2,0.0,6,3,14,5,0,3,1,3,35,"Trump, Qasem Soleimani, Bibi Netanyahu, Dan ""Razin"" Caine, Caine","the Joint Chiefs of Staff, Defense, Pentagon","Iran, Israel, America, U. S., Natanz",41,35,1.1714285714285715,0,0,3,4,2025-11-23T01:56:59.544745
_trump-and-starmer-speak-to-press-at-g7,Trump and Starmer Speak to Press at G7,,https://www.rev.com/transcripts/trump-and-starmer-speak-to-press-at-g7,Donald Trump,1602,185,8455,10.68,8.659459459459459,5.487846988818182,28,1,0.24526315789473685,0.24526315789473685,466,78.52081459824579,4.390222804718217,6.787660046375644,8.192908349453996,5.101179554390566,2.9135811005473933,4.31354748603352,2,0,0,0,0,2,13,0.0,87,3,1,0,15,19,0.042,0.816,0.141,0.9995,0.10951783783783783,0.0824700984385683,0.28717607567234477,0.901,-0.7783,1.6793,0,0,0,0,0,0,0,0,anger,0,42,38,53,16,45,1.105263157894737,194,8,6,1,0,0,10,3,1,1,0,30,0,0,5,0.0,48,3,47,10,5,6,1,3,123,"Donald J. Trump, Keir Starmer, Donald, Netanyahu, Tucker Carlson","the European Union, AUKUS, G7","UK, Iran, US, Israel, Russia",61,77,0.7922077922077922,36,0,53,0,2025-11-23T01:56:59.559702
_trump-and-carney-speak-to-press,Trump and Carney Speak to Press,,https://www.rev.com/transcripts/trump-and-carney-speak-to-press,Donald Trump,1405,158,7254,9.366666666666667,8.89240506329114,7.206348680453795,46,1,0.24633431085043989,0.24633431085043989,420,82.24191434165444,4.294593245227606,6.032618697993147,7.608471657324768,4.657709251101327,3.2254764729141954,4.0373475609756095,0,0,0,0,0,0,15,0.7117437722419929,66,8,1,3,9,21,0.071,0.797,0.132,0.9981,0.07753227848101266,0.11185542826189714,0.3344479455190256,0.93,-0.9042,1.8342,0,0,0,0,0,0,0,0,anger,0,46,31,44,15,53,1.4838709677419355,189,3,7,6,0,0,5,0,0,0,0,21,0,0,4,0.0,37,17,31,14,0,4,0,0,103,"Donald Trump, Mark Carney, Mark, Trudeau, Putin","G7, G8, ICE, the U. S. Military","Canada, the United States, Russia, Israel, China",65,97,0.6701030927835051,17,0,30,4,2025-11-23T01:56:59.572564
_trump-bill-signing-61225,Trump Bill Signing 6/12/25,,https://www.rev.com/transcripts/trump-bill-signing-6-12-25,Donald Trump,13451,1398,72627,89.67333333333333,9.621602288984263,7.813309305074359,56,1,0.11295681063122924,0.11295681063122924,1904,79.31797871812593,4.877830089561311,6.790281790230236,8.46946738663618,5.749167106354111,4.688886441272938,4.114767868051313,12,0,1,0,2,9,151,0.2230317448516839,723,26,28,4,26,84,0.084,0.772,0.144,1.0,0.06952346208869815,0.1220456371748523,0.34935030724883054,0.9465,-0.9454,1.8919000000000001,0,0,0,0,0,0,0,0,anger,0,530,312,354,387,679,1.6987179487179487,2262,19,48,9,0,4,62,21,3,7,0,173,1,15,12,1.25,216,74,129,105,28,36,1,10,599,"Donald Trump, Chris Wright, Trump, Biden, John","Congress, Senate, House, TikTok, ISIS","California, China, Iran, Los Angeles, Pakistan",823,920,0.8945652173913043,106,0,35,36,2025-11-23T01:56:59.690588
_german-chancellor-visits-white-house,German Chancellor Visits White House,,https://www.rev.com/transcripts/german-chancellor-visits-white-house,Donald Trump,7182,700,38195,47.88,10.264285714285714,7.784793523535588,49,1,0.1337891737891738,0.1337891737891738,1174,80.21582075471699,4.824630938043626,6.453820420179312,8.163872511770816,5.601758865248225,4.451625762519505,4.082926829268293,7,0,0,0,3,4,87,0.278473962684489,405,17,15,5,31,68,0.1,0.768,0.132,0.9998,0.039507857142857136,0.1276249109239796,0.35724628888762383,0.9187,-0.9161,1.8348,0,0,0,0,0,0,0,0,anger,0,311,225,168,103,353,1.3822222222222222,1160,12,34,6,0,0,21,11,3,0,0,87,3,3,3,1.0,131,24,73,44,9,14,3,7,305,"Donald Trump, Friedrich Merz, Biden, Elon, Putin","CBO, Harvard, NASA, Hamas, The Biden Administration","Russia, Germany, Ukraine, China, India",415,503,0.8250497017892644,64,0,14,29,2025-11-23T01:56:59.754166
_trump-and-musk-press-conference,Trump and Musk Press Conference,,https://www.rev.com/transcripts/trump-and-musk-press-conference,Donald Trump,9805,854,52658,65.36666666666666,11.482435597189696,8.994223786140365,62,1,0.13396722981577383,0.13396722981577383,1578,77.23009056815327,5.576259931566433,7.538065688491949,8.849222322105092,6.3193890274314235,5.3727085215975094,4.173083008121506,3,0,1,0,0,2,95,0.6119326874043856,576,16,10,5,10,41,0.078,0.795,0.126,0.9999,0.06295714285714285,0.11483053045834726,0.338866537826247,0.9371,-0.9186,1.8557000000000001,0,0,0,0,0,0,0,0,anger,0,304,247,161,199,385,1.2307692307692308,1296,12,51,14,0,1,26,21,4,4,0,133,6,11,15,0.7333333333333333,192,66,62,67,43,15,2,10,457,"Donald Trump, Elon Musk, Elon, Peter Doocy, Trump","DOGE, Congress, Harvard, ISIS, New York Times","America, the United States, Russia, Burma, Ukraine",521,609,0.8555008210180624,64,0,40,22,2025-11-23T01:56:59.841494
